일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,81070,1639,323549,149,43,3231690
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,54124,1587,270778,159,45,2873763
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,94241,2186,488318,226,83,4350770
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,86140,2688,455591,466,107,6131905
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,83017,1628,423606,168,26,1840693
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,68773,1540,372519,249,59,4118645
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,82118,2384,515776,403,111,6232862
2024-12-26,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,63528,2092,320565,215,70,3593883
2024-12-26,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,51846,1241,229462,188,86,4311462
2024-12-26,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,35093,1027,213477,129,40,2164030
2024-12-26,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,28342,1184,184761,116,45,2964451
2024-12-26,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,75659,2124,463729,130,60,5647884
2024-12-26,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,95695,1980,574798,158,53,2875255
2024-12-26,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,62226,1229,471830,117,39,2457596
2024-12-26,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,75737,1527,403246,224,85,3477432
2024-12-26,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,87300,2140,422423,259,64,4311114
2024-12-26,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,55499,1653,272708,158,83,4086259
2024-12-26,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,74235,1112,239334,80,24,991124
2024-12-26,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,56139,1145,360776,58,10,446207
2024-12-26,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,51182,755,216237,72,15,664835
2024-12-26,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,75726,1387,284398,106,19,1210074
2024-12-26,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,42829,813,181547,73,18,1153650
2024-12-26,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,66732,1473,315742,107,21,1116305
2024-12-26,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,11431,261,46108,11,4,332415
2024-12-26,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,13551,432,55000,25,8,813727
2024-12-26,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,15439,376,43924,21,13,1100529
2024-12-26,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,30489,881,137812,47,26,2204211
2024-12-26,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,35243,684,125393,52,18,979330
2024-12-26,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,33057,565,155461,30,12,1028817
2024-12-26,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,8758,1317,76269,231,160,9601582
2024-12-26,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,23592,1418,210896,229,76,4591468
2024-12-26,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,17611,1453,127355,159,80,6501263
2024-12-26,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,7683,621,71703,74,40,4394191
2024-12-26,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,9767,344,66919,32,23,2658380
2024-12-26,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,7874,464,57729,27,15,1652651
2024-12-26,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,12425,943,148386,75,63,4225945
2024-12-26,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,14739,627,101726,66,43,4603154
2024-12-26,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,14007,901,100406,90,62,3924685
