일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1116,74,24,1648726
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1421,110,35,1815222
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1759,155,60,2874479
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,2013,259,68,4544999
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1075,83,22,964893
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,976,135,38,2397145
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,2133,205,68,4228486
2024-12-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1883,127,40,2459602
2024-12-26,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1117,118,37,2462812
2024-12-26,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,981,74,24,1515441
2024-12-26,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,799,92,30,1989749
2024-12-26,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1260,77,42,2899595
2024-12-26,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1624,138,29,2092490
2024-12-26,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,840,105,23,1676681
2024-12-26,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1196,160,37,2440809
2024-12-26,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,2129,129,36,2077201
2024-12-26,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1231,123,45,2461067
2024-12-26,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,771,61,13,708647
2024-12-26,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,1012,38,6,387703
2024-12-26,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,544,33,9,461712
2024-12-26,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,1038,63,12,785610
2024-12-26,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,720,52,9,856554
2024-12-26,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,886,76,10,955566
2024-12-26,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,159,8,3,248323
2024-12-26,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,325,17,5,530406
2024-12-26,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,300,13,6,709250
2024-12-26,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,892,29,16,1238654
2024-12-26,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,505,31,9,618719
2024-12-26,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,397,16,7,709520
2024-12-26,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1151,129,89,9013178
2024-12-26,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1317,233,59,3673283
2024-12-26,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,1228,109,34,4734336
2024-12-26,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,573,61,28,2999800
2024-12-26,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,340,22,12,1953635
2024-12-26,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,347,19,11,1475714
2024-12-26,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,804,45,30,2470756
2024-12-26,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,441,53,23,3575919
2024-12-26,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,587,47,37,3098674
