일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1232,87,20,1400727
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1189,87,24,1564425
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1512,117,57,2710709
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1602,275,66,4428741
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1114,96,21,1048366
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,789,124,28,2225868
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1846,166,55,4214358
2024-12-30,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1568,118,28,1904806
2024-12-30,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,974,108,31,2200538
2024-12-30,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,799,89,27,1504202
2024-12-30,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,885,89,25,2056378
2024-12-30,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1291,101,38,2812951
2024-12-30,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1418,136,30,1944488
2024-12-30,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,690,85,18,1555312
2024-12-30,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1042,139,32,2840982
2024-12-30,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1655,129,34,1917149
2024-12-30,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1007,87,39,2200760
2024-12-30,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,604,66,12,727567
2024-12-30,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,643,38,4,280466
2024-12-30,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,469,29,9,535251
2024-12-30,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,1152,55,14,663564
2024-12-30,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,694,52,10,736600
2024-12-30,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,919,81,9,906482
2024-12-30,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,158,6,2,221005
2024-12-30,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,230,15,5,559168
2024-12-30,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,255,12,5,736702
2024-12-30,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,563,26,16,1071673
2024-12-30,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,454,28,8,606633
2024-12-30,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,399,12,5,647351
2024-12-30,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,843,122,78,8889200
2024-12-30,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1269,226,46,2668173
2024-12-30,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,1007,121,43,4084122
2024-12-30,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,480,45,22,2309009
2024-12-30,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,274,21,11,1705553
2024-12-30,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,270,16,10,1272513
2024-12-30,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,560,33,29,2395680
2024-12-30,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,480,42,18,2697196
2024-12-30,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,481,55,30,2925999
