일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1149,106,27,1417794
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1080,96,30,1573128
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1455,168,64,3048176
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1694,308,64,3642817
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1257,100,22,898718
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,874,180,32,2900154
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1814,204,77,5347106
2024-12-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1471,141,40,2062328
2024-12-27,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1010,140,41,2245039
2024-12-27,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,771,80,29,1932800
2024-12-27,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,862,84,33,2138224
2024-12-27,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1140,81,48,3573620
2024-12-27,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1517,172,41,2310570
2024-12-27,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,792,101,27,1384489
2024-12-27,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1317,126,36,2332501
2024-12-27,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1487,170,37,2749807
2024-12-27,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1096,111,43,2128953
2024-12-27,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,739,55,15,703171
2024-12-27,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,928,30,4,318216
2024-12-27,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,426,37,10,640046
2024-12-27,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,901,60,11,930249
2024-12-27,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,655,58,9,776323
2024-12-27,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,1048,93,10,908644
2024-12-27,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,150,9,4,209620
2024-12-27,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,212,16,6,605302
2024-12-27,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,237,13,6,878590
2024-12-27,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,750,30,13,1195855
2024-12-27,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,423,34,8,836608
2024-12-27,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,365,19,9,702314
2024-12-27,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,807,183,102,8893666
2024-12-27,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1231,220,59,2785446
2024-12-27,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,953,102,45,3927503
2024-12-27,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,420,56,25,2500570
2024-12-27,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,308,24,15,1929823
2024-12-27,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,268,16,13,1359178
2024-12-27,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,653,45,35,2836657
2024-12-27,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,476,54,23,2766544
2024-12-27,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,559,60,27,2484921
