일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,81708,1607,338477,160,37,2775060
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,66613,1823,290457,162,40,3158629
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,85148,2841,395274,230,77,4641937
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,89827,2956,434342,364,116,5495257
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,78018,1401,346003,185,37,1934975
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,75634,1474,361101,239,70,3280492
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,106349,2878,483377,401,103,8315334
2024-12-25,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,70263,2284,351106,236,57,3036127
2024-12-25,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,52425,1417,276676,156,78,3701165
2024-12-25,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,31955,1402,185892,130,37,1983835
2024-12-25,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,33047,1141,171516,126,55,3736852
2024-12-25,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,84796,1668,475544,150,69,4872687
2024-12-25,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,74327,2013,482105,176,56,3397083
2024-12-25,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,75216,1101,424033,153,43,2122219
2024-12-25,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,79688,1743,389909,228,65,4353806
2024-12-25,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,104193,2544,508501,243,70,3959546
2024-12-25,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,56764,1296,275848,141,64,3192178
2024-12-25,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,62056,1284,342857,103,28,904456
2024-12-25,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,58298,1045,289023,62,10,547277
2024-12-25,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,49259,820,169888,70,14,868024
2024-12-25,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,68805,1391,366201,92,24,1128353
2024-12-25,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,41472,1024,230052,62,21,1610785
2024-12-25,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,61639,1431,346676,103,22,944649
2024-12-25,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,11769,264,56210,11,6,252409
2024-12-25,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,14103,363,58161,23,9,694294
2024-12-25,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,16263,470,50146,19,12,1300422
2024-12-25,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,32850,1068,127091,50,27,1817871
2024-12-25,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,36792,796,165819,51,16,881796
2024-12-25,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,35457,625,139460,25,11,1142627
2024-12-25,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,9804,1147,78954,245,145,11626431
2024-12-25,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,18737,1489,207529,253,93,4842582
2024-12-25,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,23913,1201,155845,138,77,5024597
2024-12-25,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,9685,697,79499,75,34,3279072
2024-12-25,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,7947,438,69077,30,24,2287511
2024-12-25,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,9746,341,57648,26,17,2270672
2024-12-25,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,16968,919,149879,59,57,4589025
2024-12-25,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,14109,591,111124,67,50,3867307
2024-12-25,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,13780,840,100386,96,58,4035380
