일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1029,68,21,1633287
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1057,107,27,1361874
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1590,151,46,2963378
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1880,232,67,4224027
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1218,108,21,1090852
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1107,135,31,2067085
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1816,171,60,4323633
2025-01-02,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1833,148,39,2053727
2025-01-02,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,941,104,46,2228197
2025-01-02,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,912,85,22,1845951
2025-01-02,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,909,75,25,2246315
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1204,37,23,3093724
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1374,63,20,2081525
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,682,50,13,1504165
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1141,61,28,2338855
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1968,77,25,2002732
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1156,59,28,2417140
2025-01-02,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,837,60,16,644616
2025-01-02,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,767,37,4,303383
2025-01-02,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,548,36,8,598355
2025-01-02,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,1257,50,11,665917
2025-01-02,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,796,52,10,915265
2025-01-02,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,1100,75,11,892260
2025-01-02,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,204,7,3,197690
2025-01-02,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,325,12,5,440192
2025-01-02,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,242,10,6,921527
2025-01-02,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,661,28,14,1235923
2025-01-02,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,451,23,7,585845
2025-01-02,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,489,17,7,656694
2025-01-02,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,840,143,86,7933772
2025-01-02,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1042,171,47,2756851
2025-01-02,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,889,98,39,4122966
2025-01-02,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,430,43,23,3139246
2025-01-02,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,290,18,14,1753478
2025-01-02,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,338,15,10,1501426
2025-01-02,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,635,41,32,2524098
2025-01-02,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,440,46,20,3140854
2025-01-02,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,657,53,34,3014728
