일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,64956,1721,320213,119,43,2448306
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,65379,1320,291582,145,49,2654519
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,69481,2283,465195,207,92,4963601
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,94909,2567,545326,355,81,5022719
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,71788,1685,358071,157,26,1345637
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,62502,1547,323461,248,63,3921467
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,89658,2752,454693,331,133,6692150
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,63282,2225,356892,208,55,2791433
2025-01-02,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,43491,1249,208597,155,81,4187443
2025-01-02,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,36664,1058,217980,114,39,2031541
2025-01-02,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,28807,1147,169721,143,46,2704235
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,93170,1538,694348,65,29,2705469
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,77396,2214,781186,97,25,1599538
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,64346,959,620689,62,21,1139675
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,60222,1701,471182,99,44,1688332
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,98196,2581,836246,91,42,1846367
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,61029,1637,326104,77,46,1983206
2025-01-02,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,70953,1090,265204,101,20,1153639
2025-01-02,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,53817,906,267644,48,12,536219
2025-01-02,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,43111,693,209897,67,13,774676
2025-01-02,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,66123,1822,282335,99,22,972540
2025-01-02,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,40806,1021,192898,63,18,1313874
2025-01-02,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,73019,1382,275408,121,18,1013878
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,12517,215,52641,9,6,337930
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,16404,386,89067,17,10,703905
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,13368,318,55266,17,13,1151185
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,30832,778,130285,32,22,1790328
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,35873,648,141196,29,16,1141604
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,26676,563,146649,19,15,1004735
2025-01-02,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,9265,1387,65067,213,150,10507441
2025-01-02,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,23089,1616,186183,247,92,3923849
2025-01-02,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,22271,1496,161159,182,70,5298451
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8418,647,81175,73,34,3527419
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,8348,373,74492,29,26,2891593
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,8768,419,55686,29,15,1911922
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,12344,915,150391,61,60,4081770
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,11273,621,118663,73,36,3477350
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,10298,702,93907,92,47,3419906
