일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1238,73,23,1789904
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,919,85,26,1460553
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1854,151,52,2528464
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,2198,241,65,4171929
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1179,98,19,1129239
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,976,145,38,2843172
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,2182,221,60,4377128
2024-12-28,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1674,148,35,2027533
2024-12-28,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,928,94,33,2382119
2024-12-28,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,809,81,32,1377239
2024-12-28,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,738,97,32,2544768
2024-12-28,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1476,95,40,2663682
2024-12-28,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1296,134,34,2202569
2024-12-28,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,825,96,22,1367981
2024-12-28,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1214,117,35,2206282
2024-12-28,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1922,153,32,1939669
2024-12-28,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1086,88,35,2203218
2024-12-28,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,726,54,14,616602
2024-12-28,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,715,37,6,267189
2024-12-28,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,574,31,7,516650
2024-12-28,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,1099,48,15,842736
2024-12-28,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,594,45,9,712820
2024-12-28,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,769,76,11,809320
2024-12-28,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,162,8,3,172189
2024-12-28,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,246,15,7,578531
2024-12-28,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,256,12,7,644278
2024-12-28,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,770,25,13,1015109
2024-12-28,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,371,33,9,644566
2024-12-28,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,503,17,7,605521
2024-12-28,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1052,137,95,7609183
2024-12-28,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1109,227,56,3287494
2024-12-28,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,1074,108,32,4508906
2024-12-28,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,477,55,25,2830525
2024-12-28,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,329,19,11,1760257
2024-12-28,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,305,14,9,1384252
2024-12-28,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,734,38,34,3197138
2024-12-28,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,430,41,22,3187484
2024-12-28,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,650,43,31,2456753
