일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,67216,1470,319466,136,44,2753537
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,58745,1600,284163,135,50,2564429
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,65650,2807,456949,200,70,4401569
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,79816,2135,524470,318,103,5709228
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,87506,1463,382462,141,33,1623475
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,55425,1198,271427,181,61,3066909
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,85101,2348,475258,356,91,7388447
2024-12-29,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,62988,1967,397604,224,65,3130591
2024-12-29,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,47795,1077,257271,168,67,3381247
2024-12-29,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,26601,1299,183312,123,44,2213772
2024-12-29,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,32587,1093,191059,124,45,2560655
2024-12-29,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,97060,1560,438146,113,65,4813238
2024-12-29,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,82853,2257,510689,187,54,3175458
2024-12-29,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,56588,955,439984,139,42,2630445
2024-12-29,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,63713,1872,385479,186,73,3806772
2024-12-29,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,80680,2748,531391,181,74,3245847
2024-12-29,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,56845,1393,282340,128,69,3427726
2024-12-29,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,66338,935,273825,76,20,1056294
2024-12-29,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,52050,1113,263113,48,12,443020
2024-12-29,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,49697,702,171233,63,11,734354
2024-12-29,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,59289,1294,277210,79,26,1078651
2024-12-29,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,38500,946,205786,72,22,1508479
2024-12-29,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,67063,1236,243982,94,17,1134441
2024-12-29,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,10966,186,45124,12,4,282658
2024-12-29,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,14273,372,56375,24,8,737830
2024-12-29,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,13279,420,48388,16,10,1033270
2024-12-29,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,28768,902,114012,46,24,1614499
2024-12-29,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,35814,648,138523,49,19,944622
2024-12-29,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,26241,526,147640,22,11,1128398
2024-12-29,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7047,1253,59626,205,122,11043288
2024-12-29,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,16456,1348,146667,237,90,4940552
2024-12-29,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,20993,1483,152254,140,57,4308646
2024-12-29,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8910,498,79164,63,41,3686268
2024-12-29,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,8375,407,63954,25,26,2336079
2024-12-29,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,8505,396,50956,24,16,1577827
2024-12-29,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,14402,995,114967,70,62,3597113
2024-12-29,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,13101,620,106166,53,44,3198896
2024-12-29,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,12905,815,109067,92,48,4076634
