일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1346,90,28,1630567
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1279,92,29,1304169
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1668,137,46,2731372
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,2273,312,68,4240483
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1204,116,18,792760
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,885,139,35,2173505
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,2122,188,55,3774239
2024-12-29,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1449,142,36,1759748
2024-12-29,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,893,120,46,1932523
2024-12-29,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,960,91,23,1274783
2024-12-29,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,913,96,33,1843468
2024-12-29,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1373,86,42,2331791
2024-12-29,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1267,159,31,2083646
2024-12-29,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,726,96,27,1392050
2024-12-29,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1143,150,46,2318432
2024-12-29,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1783,126,42,1972363
2024-12-29,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,807,115,46,1969448
2024-12-29,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,737,55,12,536363
2024-12-29,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,777,39,4,331454
2024-12-29,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,540,41,7,493703
2024-12-29,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,1102,51,12,820402
2024-12-29,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,593,50,10,734180
2024-12-29,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,889,93,8,742890
2024-12-29,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,184,6,3,159200
2024-12-29,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,268,15,6,435613
2024-12-29,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,295,12,6,704369
2024-12-29,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,625,33,12,854622
2024-12-29,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,384,34,10,679921
2024-12-29,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,403,17,6,708775
2024-12-29,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,937,126,88,8753299
2024-12-29,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1299,195,52,3121365
2024-12-29,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,837,122,44,3271513
2024-12-29,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,455,45,26,2933268
2024-12-29,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,319,18,12,1804529
2024-12-29,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,259,17,10,986350
2024-12-29,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,608,35,32,2655705
2024-12-29,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,546,43,21,2391244
2024-12-29,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,618,54,31,2557994
